"Category Name","Category ID","Category Description","Tax Category","Available Regular","Available PickUp","Category TimeConstraint ID","Open Until Close","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Start (24hr)","End (24hr)","Sub-Category Name","Subcategory ID","Sub-Category Description","Tax Category","Available Regular","Available PickUp","Sub-Category TimeConstraint ID","Open Until Close","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Start (24hr)","End (24hr)","Item Name","Item ID","Item Description","Regular Price (00.00)","PickUp Price (00.00)","Tax Category","SKU","Energy Content","Servings","GTIN/UPC","Size Description","Deposit","Cup Fee","ABV %","Package Quantity","Image URL","Small ImageUrl","Medium ImageUrl","Large ImageUrl","Item TimeConstraint ID","Open Until Close","Mon","Tue","Wed","Thu","Fri","Sat","Sun","Start (24hr)","End (24hr)","OptionGroup Name","OptionGroup ID","Minimum","Maximum Total","Maximum Each","Option Name","Option ID","Regular Price (00.00)","PickUp Price (00.00)","Tax Category","SKU","Energy Content","Servings","Topping Value","Deposit","Package Quantity","GTIN/UPC"
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Sushi Box Amateur Mix","c71197f9-d70c-402d-a038-e6689154b3f3","3 Maki Salmon Roll, 6 Maki Cheese Avocat, 3 Spring Saumon Avocat, 3 California Saumon Avocat","$16.90","$16.90","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Choix supplément","9a7778d7-2521-451e-ad6a-c3c48f097859","","5","1","Crispy Onions","d9984e3f-905a-4b54-99d5-2da6aa7e2520","$0.50","$0.50","REGULAR","4865","","","1","$0.00","",""
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Sushi Box Amateur Mix","c71197f9-d70c-402d-a038-e6689154b3f3","3 Maki Salmon Roll, 6 Maki Cheese Avocat, 3 Spring Saumon Avocat, 3 California Saumon Avocat","$16.90","$16.90","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Voulez-vous des baguettes ?","c425f756-6bd4-494a-803d-465af470b827","1","1","1","Baguettes en bois réutilisables","096650fc-2564-474a-ad5a-d3102ab24726","$0.90","$0.90","REGULAR","4125","","","1","$0.00","",""
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Sushi Box Amateur Mix","c71197f9-d70c-402d-a038-e6689154b3f3","3 Maki Salmon Roll, 6 Maki Cheese Avocat, 3 Spring Saumon Avocat, 3 California Saumon Avocat","$16.90","$16.90","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Voulez-vous des baguettes ?","c425f756-6bd4-494a-803d-465af470b827","1","1","1","Baguettes à usage unique","f57f6d9d-e543-411d-87f3-a19267306766","$0.00","$0.00","REGULAR","1420","","","1","$0.00","",""
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Sushi Box Amateur Mix","c71197f9-d70c-402d-a038-e6689154b3f3","3 Maki Salmon Roll, 6 Maki Cheese Avocat, 3 Spring Saumon Avocat, 3 California Saumon Avocat","$16.90","$16.90","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Voulez-vous des baguettes ?","c425f756-6bd4-494a-803d-465af470b827","1","1","1","Pas de baguettes","8bbdb93c-c9e9-4881-9a84-4500a6997cc7","$0.00","$0.00","REGULAR","3817","","","1","$0.00","",""
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Box Adrien Cachot","1cf55df5-6a40-4e7b-8011-414be56986f1","2 Sushi Crevette Koshou, 2 Kuro Edamame Tulip, 6 Maki Maguro Cacahuète Wasabi, 6 California Saba Moutarde, 3 California Kimchicken, 3 Spring Crevette Nanban","$35.00","$35.00","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Choix extra gratuit","ad35185f-6a5a-46f9-b917-deb9ebb53b0c","1","1","1","Gingembre offert","52f60b58-5c80-49ae-bd3b-7962650c635a","$0.00","$0.00","REGULAR","2859","","","1","$0.00","",""
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Box Adrien Cachot","1cf55df5-6a40-4e7b-8011-414be56986f1","2 Sushi Crevette Koshou, 2 Kuro Edamame Tulip, 6 Maki Maguro Cacahuète Wasabi, 6 California Saba Moutarde, 3 California Kimchicken, 3 Spring Crevette Nanban","$35.00","$35.00","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Choix extra gratuit","ad35185f-6a5a-46f9-b917-deb9ebb53b0c","1","1","1","Sauce soja sucrée offerte","d950fbea-26c8-4526-89a8-33d49502e5a2","$0.00","$0.00","REGULAR","2861","","","1","$0.00","",""
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Box Adrien Cachot","1cf55df5-6a40-4e7b-8011-414be56986f1","2 Sushi Crevette Koshou, 2 Kuro Edamame Tulip, 6 Maki Maguro Cacahuète Wasabi, 6 California Saba Moutarde, 3 California Kimchicken, 3 Spring Crevette Nanban","$35.00","$35.00","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Choix extra gratuit","ad35185f-6a5a-46f9-b917-deb9ebb53b0c","1","1","1","Sauce soja salée offerte","e01b4dce-acd1-4d62-93f9-b3add731c499","$0.00","$0.00","REGULAR","2863","","","1","$0.00","",""
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Box Adrien Cachot","1cf55df5-6a40-4e7b-8011-414be56986f1","2 Sushi Crevette Koshou, 2 Kuro Edamame Tulip, 6 Maki Maguro Cacahuète Wasabi, 6 California Saba Moutarde, 3 California Kimchicken, 3 Spring Crevette Nanban","$35.00","$35.00","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Choix extra gratuit","ad35185f-6a5a-46f9-b917-deb9ebb53b0c","1","1","1","Wasabi offert","38714afe-10b1-4f50-b0f8-c99526e1c4bd","$0.00","$0.00","REGULAR","2865","","","1","$0.00","",""
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Box Adrien Cachot","1cf55df5-6a40-4e7b-8011-414be56986f1","2 Sushi Crevette Koshou, 2 Kuro Edamame Tulip, 6 Maki Maguro Cacahuète Wasabi, 6 California Saba Moutarde, 3 California Kimchicken, 3 Spring Crevette Nanban","$35.00","$35.00","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Choix supplément","7f789429-d872-4ca8-a77e-d0e40b6e1371","","5","1","Gingembre (1 sachet)","96e9234e-88ba-4f28-a346-96be6a288aba","$0.50","$0.50","REGULAR","1424","","","1","$0.00","",""
"Sushi Box","76903243-d6b8-4da0-baf7-7b8c1245dde7","","NO_TAX","TRUE","TRUE","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","","","","","","","","","","","","","","","","","","Box Adrien Cachot","1cf55df5-6a40-4e7b-8011-414be56986f1","2 Sushi Crevette Koshou, 2 Kuro Edamame Tulip, 6 Maki Maguro Cacahuète Wasabi, 6 California Saba Moutarde, 3 California Kimchicken, 3 Spring Crevette Nanban","$35.00","$35.00","REGULAR","","","","","","$0.00","$0.00","","","","","","","","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","0:00","0:00","Choix supplément","7f789429-d872-4ca8-a77e-d0e40b6e1371","","5","1","Sauce soja salée","c68ef7a3-9fbf-4f63-b180-0248e1c0ac1b","$0.50","$0.50","REGULAR","1422","","","1","$0.00","",""
